TP20,106.26,-13.63,0.00,TPTP20R,TP20R
TP21,90.51,-10.33,0.00,TPTP20R,TP20R
TP22,116.39,34.55,0.00,TPTP20R,TP20R
TP23,34.14,44.85,0.00,TPTP20R,TP20R
TP24,48.69,58.05,0.00,TPTP20R,TP20R
TP25,50.24,62.85,0.00,TPTP20R,TP20R
TP26,20.29,49.65,0.00,TPTP20R,TP20R
TP27,156.54,39.95,0.00,TPTP20R,TP20R
TP28,150.19,39.95,0.00,TPTP20R,TP20R
TP29,90.14,-6.75,0.00,TPTP20R,TP20R
TP30,48.49,18.75,0.00,TPTP20R,TP20R
TP31,120.84,-14.15,0.00,TPTP20R,TP20R
TP32,73.29,35.85,0.00,TPTP20R,TP20R
TP33,114.64,-13.95,0.00,TPTP20R,TP20R
TP34,48.39,14.65,0.00,TPTP20R,TP20R
U1,56.22,47.76,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,30.04,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.39,34.22,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,130.70,39.15,267.80,MAX17048G+T10,SON50P200X200X80-9N
